Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2017 September,Dublin - all residential properties,Base Jan 2005 = 100,101
Residential Property Price Index,2017 September,Dublin - houses,Base Jan 2005 = 100,106.3
Residential Property Price Index,2017 September,Dublin - apartments,Base Jan 2005 = 100,84.6
Residential Property Price Index,2017 October,National - all residential properties,Base Jan 2005 = 100,99.5
Residential Property Price Index,2017 October,National - houses,Base Jan 2005 = 100,102.7
Residential Property Price Index,2017 October,National - apartments,Base Jan 2005 = 100,81.1
Residential Property Price Index,2017 October,Dublin - all residential properties,Base Jan 2005 = 100,101.5
Residential Property Price Index,2017 October,Dublin - houses,Base Jan 2005 = 100,106.8
Residential Property Price Index,2017 October,Dublin - apartments,Base Jan 2005 = 100,85.4
Residential Property Price Index,2017 November,National - all residential properties,Base Jan 2005 = 100,100.3
Residential Property Price Index,2017 November,National - houses,Base Jan 2005 = 100,103.6
Residential Property Price Index,2017 November,National - apartments,Base Jan 2005 = 100,81.9
Residential Property Price Index,2017 November,Dublin - all residential properties,Base Jan 2005 = 100,101.8
Residential Property Price Index,2017 November,Dublin - houses,Base Jan 2005 = 100,107.1
Residential Property Price Index,2017 November,Dublin - apartments,Base Jan 2005 = 100,86
Residential Property Price Index,2017 December,National - all residential properties,Base Jan 2005 = 100,100.8
Residential Property Price Index,2017 December,National - houses,Base Jan 2005 = 100,103.9
Residential Property Price Index,2017 December,National - apartments,Base Jan 2005 = 100,83.1
Residential Property Price Index,2017 December,Dublin - all residential properties,Base Jan 2005 = 100,102.2
Residential Property Price Index,2017 December,Dublin - houses,Base Jan 2005 = 100,107
Residential Property Price Index,2017 December,Dublin - apartments,Base Jan 2005 = 100,87.6
Residential Property Price Index,2018 January,National - all residential properties,Base Jan 2005 = 100,101.2
Residential Property Price Index,2018 January,National - houses,Base Jan 2005 = 100,104.6
Residential Property Price Index,2018 January,National - apartments,Base Jan 2005 = 100,83.2
Residential Property Price Index,2018 January,Dublin - all residential properties,Base Jan 2005 = 100,102.8
Residential Property Price Index,2018 January,Dublin - houses,Base Jan 2005 = 100,107.9
Residential Property Price Index,2018 January,Dublin - apartments,Base Jan 2005 = 100,87.8
Residential Property Price Index,2018 February,National - all residential properties,Base Jan 2005 = 100,102
Residential Property Price Index,2018 February,National - houses,Base Jan 2005 = 100,105.3
Residential Property Price Index,2018 February,National - apartments,Base Jan 2005 = 100,84
Residential Property Price Index,2018 February,Dublin - all residential properties,Base Jan 2005 = 100,103.7
Residential Property Price Index,2018 February,Dublin - houses,Base Jan 2005 = 100,109.4
Residential Property Price Index,2018 February,Dublin - apartments,Base Jan 2005 = 100,87.3
Residential Property Price Index,2018 March,National - all residential properties,Base Jan 2005 = 100,102.6
Residential Property Price Index,2018 March,National - houses,Base Jan 2005 = 100,105.9
Residential Property Price Index,2018 March,National - apartments,Base Jan 2005 = 100,84.6
Residential Property Price Index,2018 March,Dublin - all residential properties,Base Jan 2005 = 100,103.7
Residential Property Price Index,2018 March,Dublin - houses,Base Jan 2005 = 100,109.4
Residential Property Price Index,2018 March,Dublin - apartments,Base Jan 2005 = 100,86.9
Residential Property Price Index,2018 April,National - all residential properties,Base Jan 2005 = 100,103.6
Residential Property Price Index,2018 April,National - houses,Base Jan 2005 = 100,106.7
Residential Property Price Index,2018 April,National - apartments,Base Jan 2005 = 100,86.1
Residential Property Price Index,2018 April,Dublin - all residential properties,Base Jan 2005 = 100,104.1
Residential Property Price Index,2018 April,Dublin - houses,Base Jan 2005 = 100,109.5
Residential Property Price Index,2018 April,Dublin - apartments,Base Jan 2005 = 100,87.8
Residential Property Price Index,2018 May,National - all residential properties,Base Jan 2005 = 100,104.3
Residential Property Price Index,2018 May,National - houses,Base Jan 2005 = 100,107.3
Residential Property Price Index,2018 May,National - apartments,Base Jan 2005 = 100,86.9
Residential Property Price Index,2018 May,Dublin - all residential properties,Base Jan 2005 = 100,104.8
Residential Property Price Index,2018 May,Dublin - houses,Base Jan 2005 = 100,110.1
Residential Property Price Index,2018 May,Dublin - apartments,Base Jan 2005 = 100,88.9
Residential Property Price Index,2018 June,National - all residential properties,Base Jan 2005 = 100,105.3
Residential Property Price Index,2018 June,National - houses,Base Jan 2005 = 100,108.4
Residential Property Price Index,2018 June,National - apartments,Base Jan 2005 = 100,87.7
Residential Property Price Index,2018 June,Dublin - all residential properties,Base Jan 2005 = 100,104.9
Residential Property Price Index,2018 June,Dublin - houses,Base Jan 2005 = 100,109.9
Residential Property Price Index,2018 June,Dublin - apartments,Base Jan 2005 = 100,89.7
Residential Property Price Index,2018 July,National - all residential properties,Base Jan 2005 = 100,106
Residential Property Price Index,2018 July,National - houses,Base Jan 2005 = 100,109.2
Residential Property Price Index,2018 July,National - apartments,Base Jan 2005 = 100,88.2
Residential Property Price Index,2018 July,Dublin - all residential properties,Base Jan 2005 = 100,105.8
Residential Property Price Index,2018 July,Dublin - houses,Base Jan 2005 = 100,110.9
Residential Property Price Index,2018 July,Dublin - apartments,Base Jan 2005 = 100,90.1
Residential Property Price Index,2018 August,National - all residential properties,Base Jan 2005 = 100,106.6
Residential Property Price Index,2018 August,National - houses,Base Jan 2005 = 100,109.7
Residential Property Price Index,2018 August,National - apartments,Base Jan 2005 = 100,89.1
Residential Property Price Index,2018 August,Dublin - all residential properties,Base Jan 2005 = 100,106.6
Residential Property Price Index,2018 August,Dublin - houses,Base Jan 2005 = 100,111.7
Residential Property Price Index,2018 August,Dublin - apartments,Base Jan 2005 = 100,91
Residential Property Price Index,2018 September,National - all residential properties,Base Jan 2005 = 100,107.6
Residential Property Price Index,2018 September,National - houses,Base Jan 2005 = 100,110.8
Residential Property Price Index,2018 September,National - apartments,Base Jan 2005 = 100,89.5
Residential Property Price Index,2018 September,Dublin - all residential properties,Base Jan 2005 = 100,107.5
Residential Property Price Index,2018 September,Dublin - houses,Base Jan 2005 = 100,112.7
Residential Property Price Index,2018 September,Dublin - apartments,Base Jan 2005 = 100,91.6
Residential Property Price Index,2018 October,National - all residential properties,Base Jan 2005 = 100,107.8
Residential Property Price Index,2018 October,National - houses,Base Jan 2005 = 100,111.2
Residential Property Price Index,2018 October,National - apartments,Base Jan 2005 = 100,89.5
Residential Property Price Index,2018 October,Dublin - all residential properties,Base Jan 2005 = 100,107.8
Residential Property Price Index,2018 October,Dublin - houses,Base Jan 2005 = 100,113.4
Residential Property Price Index,2018 October,Dublin - apartments,Base Jan 2005 = 100,91.1
Residential Property Price Index,2018 November,National - all residential properties,Base Jan 2005 = 100,107.5
Residential Property Price Index,2018 November,National - houses,Base Jan 2005 = 100,110.7
Residential Property Price Index,2018 November,National - apartments,Base Jan 2005 = 100,89.8
Residential Property Price Index,2018 November,Dublin - all residential properties,Base Jan 2005 = 100,107
Residential Property Price Index,2018 November,Dublin - houses,Base Jan 2005 = 100,112.4
Residential Property Price Index,2018 November,Dublin - apartments,Base Jan 2005 = 100,91.1
Residential Property Price Index,2018 December,National - all residential properties,Base Jan 2005 = 100,107.1
Residential Property Price Index,2018 December,National - houses,Base Jan 2005 = 100,110.4
Residential Property Price Index,2018 December,National - apartments,Base Jan 2005 = 100,89.6
Residential Property Price Index,2018 December,Dublin - all residential properties,Base Jan 2005 = 100,106.1
Residential Property Price Index,2018 December,Dublin - houses,Base Jan 2005 = 100,111.4
Residential Property Price Index,2018 December,Dublin - apartments,Base Jan 2005 = 100,90.6
Residential Property Price Index,2019 January,National - all residential properties,Base Jan 2005 = 100,106.5
Residential Property Price Index,2019 January,National - houses,Base Jan 2005 = 100,109.8
Residential Property Price Index,2019 January,National - apartments,Base Jan 2005 = 100,89.2
Residential Property Price Index,2019 January,Dublin - all residential properties,Base Jan 2005 = 100,105.6
Residential Property Price Index,2019 January,Dublin - houses,Base Jan 2005 = 100,110.9
Residential Property Price Index,2019 January,Dublin - apartments,Base Jan 2005 = 100,90.1
Residential Property Price Index,2019 February,National - all residential properties,Base Jan 2005 = 100,106.4
Residential Property Price Index,2019 February,National - houses,Base Jan 2005 = 100,109.8
Residential Property Price Index,2019 February,National - apartments,Base Jan 2005 = 100,88.5
Residential Property Price Index,2019 February,Dublin - all residential properties,Base Jan 2005 = 100,105.2
Residential Property Price Index,2019 February,Dublin - houses,Base Jan 2005 = 100,110.8
Residential Property Price Index,2019 February,Dublin - apartments,Base Jan 2005 = 100,89.1
Residential Property Price Index,2019 March,National - all residential properties,Base Jan 2005 = 100,106.5
Residential Property Price Index,2019 March,National - houses,Base Jan 2005 = 100,109.9
Residential Property Price Index,2019 March,National - apartments,Base Jan 2005 = 100,88.3
Residential Property Price Index,2019 March,Dublin - all residential properties,Base Jan 2005 = 100,104.6
Residential Property Price Index,2019 March,Dublin - houses,Base Jan 2005 = 100,109.9
Residential Property Price Index,2019 March,Dublin - apartments,Base Jan 2005 = 100,88.8
Residential Property Price Index,2019 April,National - all residential properties,Base Jan 2005 = 100,106.7
Residential Property Price Index,2019 April,National - houses,Base Jan 2005 = 100,109.9
Residential Property Price Index,2019 April,National - apartments,Base Jan 2005 = 100,88.4
Residential Property Price Index,2019 April,Dublin - all residential properties,Base Jan 2005 = 100,104.6
Residential Property Price Index,2019 April,Dublin - houses,Base Jan 2005 = 100,109.6
Residential Property Price Index,2019 April,Dublin - apartments,Base Jan 2005 = 100,89.2
Residential Property Price Index,2019 May,National - all residential properties,Base Jan 2005 = 100,107
Residential Property Price Index,2019 May,National - houses,Base Jan 2005 = 100,110.3
Residential Property Price Index,2019 May,National - apartments,Base Jan 2005 = 100,88.4
Residential Property Price Index,2019 May,Dublin - all residential properties,Base Jan 2005 = 100,104.8
Residential Property Price Index,2019 May,Dublin - houses,Base Jan 2005 = 100,109.9
Residential Property Price Index,2019 May,Dublin - apartments,Base Jan 2005 = 100,89.2
Residential Property Price Index,2019 June,National - all residential properties,Base Jan 2005 = 100,107.4
Residential Property Price Index,2019 June,National - houses,Base Jan 2005 = 100,110.7
Residential Property Price Index,2019 June,National - apartments,Base Jan 2005 = 100,88.7
Residential Property Price Index,2019 June,Dublin - all residential properties,Base Jan 2005 = 100,105
Residential Property Price Index,2019 June,Dublin - houses,Base Jan 2005 = 100,110
Residential Property Price Index,2019 June,Dublin - apartments,Base Jan 2005 = 100,89.7
Residential Property Price Index,2019 July,National - all residential properties,Base Jan 2005 = 100,108.3
Residential Property Price Index,2019 July,National - houses,Base Jan 2005 = 100,111.5
Residential Property Price Index,2019 July,National - apartments,Base Jan 2005 = 100,89.5
Residential Property Price Index,2019 July,Dublin - all residential properties,Base Jan 2005 = 100,105.8
Residential Property Price Index,2019 July,Dublin - houses,Base Jan 2005 = 100,110.4
Residential Property Price Index,2019 July,Dublin - apartments,Base Jan 2005 = 100,91.1
Residential Property Price Index,2019 August,National - all residential properties,Base Jan 2005 = 100,108.6
Residential Property Price Index,2019 August,National - houses,Base Jan 2005 = 100,111.8
Residential Property Price Index,2019 August,National - apartments,Base Jan 2005 = 100,90
Residential Property Price Index,2019 August,Dublin - all residential properties,Base Jan 2005 = 100,106.2
Residential Property Price Index,2019 August,Dublin - houses,Base Jan 2005 = 100,110.8
Residential Property Price Index,2019 August,Dublin - apartments,Base Jan 2005 = 100,91.7
Residential Property Price Index,2019 September,National - all residential properties,Base Jan 2005 = 100,108.8
Residential Property Price Index,2019 September,National - houses,Base Jan 2005 = 100,112
Residential Property Price Index,2019 September,National - apartments,Base Jan 2005 = 100,90.1
Residential Property Price Index,2019 September,Dublin - all residential properties,Base Jan 2005 = 100,106.3
Residential Property Price Index,2019 September,Dublin - houses,Base Jan 2005 = 100,111.1
Residential Property Price Index,2019 September,Dublin - apartments,Base Jan 2005 = 100,91.6
Residential Property Price Index,2019 October,National - all residential properties,Base Jan 2005 = 100,108.9
Residential Property Price Index,2019 October,National - houses,Base Jan 2005 = 100,112.2
Residential Property Price Index,2019 October,National - apartments,Base Jan 2005 = 100,90.1
Residential Property Price Index,2019 October,Dublin - all residential properties,Base Jan 2005 = 100,106.2
Residential Property Price Index,2019 October,Dublin - houses,Base Jan 2005 = 100,111.4
Residential Property Price Index,2019 October,Dublin - apartments,Base Jan 2005 = 100,91
Residential Property Price Index,2019 November,National - all residential properties,Base Jan 2005 = 100,108.7
Residential Property Price Index,2019 November,National - houses,Base Jan 2005 = 100,112.2
Residential Property Price Index,2019 November,National - apartments,Base Jan 2005 = 100,89.5
Residential Property Price Index,2019 November,Dublin - all residential properties,Base Jan 2005 = 100,106
Residential Property Price Index,2019 November,Dublin - houses,Base Jan 2005 = 100,111.6
Residential Property Price Index,2019 November,Dublin - apartments,Base Jan 2005 = 100,89.7
Residential Property Price Index,2019 December,National - all residential properties,Base Jan 2005 = 100,107.5
Residential Property Price Index,2019 December,National - houses,Base Jan 2005 = 100,111.5
Residential Property Price Index,2019 December,National - apartments,Base Jan 2005 = 100,87.4
Residential Property Price Index,2019 December,Dublin - all residential properties,Base Jan 2005 = 100,104.3
Residential Property Price Index,2019 December,Dublin - houses,Base Jan 2005 = 100,110.7
Residential Property Price Index,2019 December,Dublin - apartments,Base Jan 2005 = 100,86.2
Residential Property Price Index,2020 January,National - all residential properties,Base Jan 2005 = 100,107.6
Residential Property Price Index,2020 January,National - houses,Base Jan 2005 = 100,111.5
Residential Property Price Index,2020 January,National - apartments,Base Jan 2005 = 100,88.4
Residential Property Price Index,2020 January,Dublin - all residential properties,Base Jan 2005 = 100,105.1
Residential Property Price Index,2020 January,Dublin - houses,Base Jan 2005 = 100,111.1
Residential Property Price Index,2020 January,Dublin - apartments,Base Jan 2005 = 100,88.4
Residential Property Price Index,2020 February,National - all residential properties,Base Jan 2005 = 100,107.5
Residential Property Price Index,2020 February,National - houses,Base Jan 2005 = 100,111.2
Residential Property Price Index,2020 February,National - apartments,Base Jan 2005 = 100,88.8
Residential Property Price Index,2020 February,Dublin - all residential properties,Base Jan 2005 = 100,105.2
Residential Property Price Index,2020 February,Dublin - houses,Base Jan 2005 = 100,110.9
Residential Property Price Index,2020 February,Dublin - apartments,Base Jan 2005 = 100,89.1
Residential Property Price Index,2020 March,National - all residential properties,Base Jan 2005 = 100,107.5
Residential Property Price Index,2020 March,National - houses,Base Jan 2005 = 100,111.2
Residential Property Price Index,2020 March,National - apartments,Base Jan 2005 = 100,89.2
Residential Property Price Index,2020 March,Dublin - all residential properties,Base Jan 2005 = 100,105.2
Residential Property Price Index,2020 March,Dublin - houses,Base Jan 2005 = 100,110.8
Residential Property Price Index,2020 March,Dublin - apartments,Base Jan 2005 = 100,90
Residential Property Price Index,2020 April,National - all residential properties,Base Jan 2005 = 100,107.4
Residential Property Price Index,2020 April,National - houses,Base Jan 2005 = 100,111
Residential Property Price Index,2020 April,National - apartments,Base Jan 2005 = 100,89.8
Residential Property Price Index,2020 April,Dublin - all residential properties,Base Jan 2005 = 100,104.8
Residential Property Price Index,2020 April,Dublin - houses,Base Jan 2005 = 100,110.1
Residential Property Price Index,2020 April,Dublin - apartments,Base Jan 2005 = 100,90.5
Residential Property Price Index,2020 May,National - all residential properties,Base Jan 2005 = 100,107.4
Residential Property Price Index,2020 May,National - houses,Base Jan 2005 = 100,110.8
Residential Property Price Index,2020 May,National - apartments,Base Jan 2005 = 100,90
Residential Property Price Index,2020 May,Dublin - all residential properties,Base Jan 2005 = 100,104.6
Residential Property Price Index,2020 May,Dublin - houses,Base Jan 2005 = 100,109.7
Residential Property Price Index,2020 May,Dublin - apartments,Base Jan 2005 = 100,90.6
Residential Property Price Index,2020 June,National - all residential properties,Base Jan 2005 = 100,107.4
Residential Property Price Index,2020 June,National - houses,Base Jan 2005 = 100,110.8
Residential Property Price Index,2020 June,National - apartments,Base Jan 2005 = 100,90.7
Residential Property Price Index,2020 June,Dublin - all residential properties,Base Jan 2005 = 100,104.4
Residential Property Price Index,2020 June,Dublin - houses,Base Jan 2005 = 100,109.2
Residential Property Price Index,2020 June,Dublin - apartments,Base Jan 2005 = 100,91.6
Residential Property Price Index,2020 July,National - all residential properties,Base Jan 2005 = 100,107.6
Residential Property Price Index,2020 July,National - houses,Base Jan 2005 = 100,111
Residential Property Price Index,2020 July,National - apartments,Base Jan 2005 = 100,90.9
Residential Property Price Index,2020 July,Dublin - all residential properties,Base Jan 2005 = 100,104.2
Residential Property Price Index,2020 July,Dublin - houses,Base Jan 2005 = 100,109
Residential Property Price Index,2020 July,Dublin - apartments,Base Jan 2005 = 100,91.4
Residential Property Price Index,2020 August,National - all residential properties,Base Jan 2005 = 100,107.6
Residential Property Price Index,2020 August,National - houses,Base Jan 2005 = 100,111
Residential Property Price Index,2020 August,National - apartments,Base Jan 2005 = 100,90.9
Residential Property Price Index,2020 August,Dublin - all residential properties,Base Jan 2005 = 100,104.3
Residential Property Price Index,2020 August,Dublin - houses,Base Jan 2005 = 100,109.1
Residential Property Price Index,2020 August,Dublin - apartments,Base Jan 2005 = 100,91.4
Residential Property Price Index,2020 September,National - all residential properties,Base Jan 2005 = 100,107.9
Residential Property Price Index,2020 September,National - houses,Base Jan 2005 = 100,111.3
Residential Property Price Index,2020 September,National - apartments,Base Jan 2005 = 100,91.2
Residential Property Price Index,2020 September,Dublin - all residential properties,Base Jan 2005 = 100,104.3
Residential Property Price Index,2020 September,Dublin - houses,Base Jan 2005 = 100,109.3
Residential Property Price Index,2020 September,Dublin - apartments,Base Jan 2005 = 100,91
Residential Property Price Index,2020 October,National - all residential properties,Base Jan 2005 = 100,108.4
Residential Property Price Index,2020 October,National - houses,Base Jan 2005 = 100,111.7
Residential Property Price Index,2020 October,National - apartments,Base Jan 2005 = 100,91.7
Residential Property Price Index,2020 October,Dublin - all residential properties,Base Jan 2005 = 100,104.9
Residential Property Price Index,2020 October,Dublin - houses,Base Jan 2005 = 100,109.8
Residential Property Price Index,2020 October,Dublin - apartments,Base Jan 2005 = 100,91.4
Residential Property Price Index,2020 November,National - all residential properties,Base Jan 2005 = 100,109.1
Residential Property Price Index,2020 November,National - houses,Base Jan 2005 = 100,112.6
Residential Property Price Index,2020 November,National - apartments,Base Jan 2005 = 100,91.6
Residential Property Price Index,2020 November,Dublin - all residential properties,Base Jan 2005 = 100,105.3
Residential Property Price Index,2020 November,Dublin - houses,Base Jan 2005 = 100,110.6
Residential Property Price Index,2020 November,Dublin - apartments,Base Jan 2005 = 100,90.9
Residential Property Price Index,2020 December,National - all residential properties,Base Jan 2005 = 100,109.9
Residential Property Price Index,2020 December,National - houses,Base Jan 2005 = 100,113.5
Residential Property Price Index,2020 December,National - apartments,Base Jan 2005 = 100,91.9
Residential Property Price Index,2020 December,Dublin - all residential properties,Base Jan 2005 = 100,105.8
Residential Property Price Index,2020 December,Dublin - houses,Base Jan 2005 = 100,111.3
Residential Property Price Index,2020 December,Dublin - apartments,Base Jan 2005 = 100,90.7
Residential Property Price Index,2021 January,National - all residential properties,Base Jan 2005 = 100,110.3
Residential Property Price Index,2021 January,National - houses,Base Jan 2005 = 100,114.1
Residential Property Price Index,2021 January,National - apartments,Base Jan 2005 = 100,91.4
Residential Property Price Index,2021 January,Dublin - all residential properties,Base Jan 2005 = 100,106.1
Residential Property Price Index,2021 January,Dublin - houses,Base Jan 2005 = 100,111.8
Residential Property Price Index,2021 January,Dublin - apartments,Base Jan 2005 = 100,90.1
Residential Property Price Index,2021 February,National - all residential properties,Base Jan 2005 = 100,110.7
Residential Property Price Index,2021 February,National - houses,Base Jan 2005 = 100,114.5
Residential Property Price Index,2021 February,National - apartments,Base Jan 2005 = 100,91.6
Residential Property Price Index,2021 February,Dublin - all residential properties,Base Jan 2005 = 100,106.7
Residential Property Price Index,2021 February,Dublin - houses,Base Jan 2005 = 100,112.6
Residential Property Price Index,2021 February,Dublin - apartments,Base Jan 2005 = 100,90.2
Residential Property Price Index,2021 March,National - all residential properties,Base Jan 2005 = 100,111.3
Residential Property Price Index,2021 March,National - houses,Base Jan 2005 = 100,115.1
Residential Property Price Index,2021 March,National - apartments,Base Jan 2005 = 100,92.1
Residential Property Price Index,2021 March,Dublin - all residential properties,Base Jan 2005 = 100,107.7
Residential Property Price Index,2021 March,Dublin - houses,Base Jan 2005 = 100,113.7
Residential Property Price Index,2021 March,Dublin - apartments,Base Jan 2005 = 100,90.4
Residential Property Price Index,2021 April,National - all residential properties,Base Jan 2005 = 100,112.3
Residential Property Price Index,2021 April,National - houses,Base Jan 2005 = 100,116.1
Residential Property Price Index,2021 April,National - apartments,Base Jan 2005 = 100,93.1
Residential Property Price Index,2021 April,Dublin - all residential properties,Base Jan 2005 = 100,108.7
Residential Property Price Index,2021 April,Dublin - houses,Base Jan 2005 = 100,114.9
Residential Property Price Index,2021 April,Dublin - apartments,Base Jan 2005 = 100,91
Residential Property Price Index,2021 May,National - all residential properties,Base Jan 2005 = 100,113.2
Residential Property Price Index,2021 May,National - houses,Base Jan 2005 = 100,116.9
Residential Property Price Index,2021 May,National - apartments,Base Jan 2005 = 100,94.3
Residential Property Price Index,2021 May,Dublin - all residential properties,Base Jan 2005 = 100,109.6
Residential Property Price Index,2021 May,Dublin - houses,Base Jan 2005 = 100,115.9
Residential Property Price Index,2021 May,Dublin - apartments,Base Jan 2005 = 100,91.7
Residential Property Price Index,2021 June,National - all residential properties,Base Jan 2005 = 100,114.8
Residential Property Price Index,2021 June,National - houses,Base Jan 2005 = 100,118.6
Residential Property Price Index,2021 June,National - apartments,Base Jan 2005 = 100,95.7
Residential Property Price Index,2021 June,Dublin - all residential properties,Base Jan 2005 = 100,111
Residential Property Price Index,2021 June,Dublin - houses,Base Jan 2005 = 100,117.2
Residential Property Price Index,2021 June,Dublin - apartments,Base Jan 2005 = 100,93.5
Residential Property Price Index,2021 July,National - all residential properties,Base Jan 2005 = 100,116.8
Residential Property Price Index,2021 July,National - houses,Base Jan 2005 = 100,120.7
Residential Property Price Index,2021 July,National - apartments,Base Jan 2005 = 100,97.3
Residential Property Price Index,2021 July,Dublin - all residential properties,Base Jan 2005 = 100,112.7
Residential Property Price Index,2021 July,Dublin - houses,Base Jan 2005 = 100,118.9
Residential Property Price Index,2021 July,Dublin - apartments,Base Jan 2005 = 100,95.1
Residential Property Price Index,2021 August,National - all residential properties,Base Jan 2005 = 100,119.4
Residential Property Price Index,2021 August,National - houses,Base Jan 2005 = 100,123.5
Residential Property Price Index,2021 August,National - apartments,Base Jan 2005 = 100,98.8
Residential Property Price Index,2021 August,Dublin - all residential properties,Base Jan 2005 = 100,115
Residential Property Price Index,2021 August,Dublin - houses,Base Jan 2005 = 100,121.5
Residential Property Price Index,2021 August,Dublin - apartments,Base Jan 2005 = 100,96.7
Residential Property Price Index,2021 September,National - all residential properties,Base Jan 2005 = 100,121.3
Residential Property Price Index,2021 September,National - houses,Base Jan 2005 = 100,125.5
Residential Property Price Index,2021 September,National - apartments,Base Jan 2005 = 100,100.1
Residential Property Price Index,2021 September,Dublin - all residential properties,Base Jan 2005 = 100,116.5
Residential Property Price Index,2021 September,Dublin - houses,Base Jan 2005 = 100,123.1
Residential Property Price Index,2021 September,Dublin - apartments,Base Jan 2005 = 100,98.2
Residential Property Price Index,2021 October,National - all residential properties,Base Jan 2005 = 100,122.8
Residential Property Price Index,2021 October,National - houses,Base Jan 2005 = 100,127.1
Residential Property Price Index,2021 October,National - apartments,Base Jan 2005 = 100,101
Residential Property Price Index,2021 October,Dublin - all residential properties,Base Jan 2005 = 100,117.6
Residential Property Price Index,2021 October,Dublin - houses,Base Jan 2005 = 100,124.3
Residential Property Price Index,2021 October,Dublin - apartments,Base Jan 2005 = 100,98.7
Residential Property Price Index,2021 November,National - all residential properties,Base Jan 2005 = 100,124.3
Residential Property Price Index,2021 November,National - houses,Base Jan 2005 = 100,128.6
Residential Property Price Index,2021 November,National - apartments,Base Jan 2005 = 100,102.6
Residential Property Price Index,2021 November,Dublin - all residential properties,Base Jan 2005 = 100,118.7
Residential Property Price Index,2021 November,Dublin - houses,Base Jan 2005 = 100,125.4
Residential Property Price Index,2021 November,Dublin - apartments,Base Jan 2005 = 100,99.9
Residential Property Price Index,2021 December,National - all residential properties,Base Jan 2005 = 100,125.5
Residential Property Price Index,2021 December,National - houses,Base Jan 2005 = 100,129.8
Residential Property Price Index,2021 December,National - apartments,Base Jan 2005 = 100,103.5
Residential Property Price Index,2021 December,Dublin - all residential properties,Base Jan 2005 = 100,119.4
Residential Property Price Index,2021 December,Dublin - houses,Base Jan 2005 = 100,126.1
Residential Property Price Index,2021 December,Dublin - apartments,Base Jan 2005 = 100,100.6
Residential Property Price Index,2022 January,National - all residential properties,Base Jan 2005 = 100,126.6
Residential Property Price Index,2022 January,National - houses,Base Jan 2005 = 100,131
Residential Property Price Index,2022 January,National - apartments,Base Jan 2005 = 100,104.1
Residential Property Price Index,2022 January,Dublin - all residential properties,Base Jan 2005 = 100,120
Residential Property Price Index,2022 January,Dublin - houses,Base Jan 2005 = 100,126.7
Residential Property Price Index,2022 January,Dublin - apartments,Base Jan 2005 = 100,101.3
Residential Property Price Index,2022 February,National - all residential properties,Base Jan 2005 = 100,127.4
Residential Property Price Index,2022 February,National - houses,Base Jan 2005 = 100,131.9
Residential Property Price Index,2022 February,National - apartments,Base Jan 2005 = 100,104.7
Residential Property Price Index,2022 February,Dublin - all residential properties,Base Jan 2005 = 100,120.8
Residential Property Price Index,2022 February,Dublin - houses,Base Jan 2005 = 100,127.6
Residential Property Price Index,2022 February,Dublin - apartments,Base Jan 2005 = 100,101.6
Residential Property Price Index,2022 March,National - all residential properties,Base Jan 2005 = 100,128
Residential Property Price Index,2022 March,National - houses,Base Jan 2005 = 100,132.5
Residential Property Price Index,2022 March,National - apartments,Base Jan 2005 = 100,105.3
Residential Property Price Index,2022 March,Dublin - all residential properties,Base Jan 2005 = 100,121.2
Residential Property Price Index,2022 March,Dublin - houses,Base Jan 2005 = 100,127.9
Residential Property Price Index,2022 March,Dublin - apartments,Base Jan 2005 = 100,102.2
Residential Property Price Index,2022 April,National - all residential properties,Base Jan 2005 = 100,128.5
Residential Property Price Index,2022 April,National - houses,Base Jan 2005 = 100,133
Residential Property Price Index,2022 April,National - apartments,Base Jan 2005 = 100,105.8
Residential Property Price Index,2022 April,Dublin - all residential properties,Base Jan 2005 = 100,121.4
Residential Property Price Index,2022 April,Dublin - houses,Base Jan 2005 = 100,128.1
Residential Property Price Index,2022 April,Dublin - apartments,Base Jan 2005 = 100,102.6
Residential Property Price Index,2022 May,National - all residential properties,Base Jan 2005 = 100,129.5
Residential Property Price Index,2022 May,National - houses,Base Jan 2005 = 100,134.1
Residential Property Price Index,2022 May,National - apartments,Base Jan 2005 = 100,106.2
Residential Property Price Index,2022 May,Dublin - all residential properties,Base Jan 2005 = 100,122.3
Residential Property Price Index,2022 May,Dublin - houses,Base Jan 2005 = 100,129.2
Residential Property Price Index,2022 May,Dublin - apartments,Base Jan 2005 = 100,102.8
Residential Property Price Index,2022 June,National - all residential properties,Base Jan 2005 = 100,130.8
Residential Property Price Index,2022 June,National - houses,Base Jan 2005 = 100,135.5
Residential Property Price Index,2022 June,National - apartments,Base Jan 2005 = 100,107
Residential Property Price Index,2022 June,Dublin - all residential properties,Base Jan 2005 = 100,123.7
Residential Property Price Index,2022 June,Dublin - houses,Base Jan 2005 = 100,130.7
Residential Property Price Index,2022 June,Dublin - apartments,Base Jan 2005 = 100,103.7
Residential Property Price Index,2022 July,National - all residential properties,Base Jan 2005 = 100,132.1
Residential Property Price Index,2022 July,National - houses,Base Jan 2005 = 100,136.9
Residential Property Price Index,2022 July,National - apartments,Base Jan 2005 = 100,107.5
Residential Property Price Index,2022 July,Dublin - all residential properties,Base Jan 2005 = 100,124.7
Residential Property Price Index,2022 July,Dublin - houses,Base Jan 2005 = 100,132
Residential Property Price Index,2022 July,Dublin - apartments,Base Jan 2005 = 100,104.1
Residential Property Price Index,2022 August,National - all residential properties,Base Jan 2005 = 100,133.5
