"STATISTIC Label","Year","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Mountmellick, Laois","Euro","570.8"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Mountrath, Laois","Euro","625.87"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Portarlington, Laois","Euro","609.87"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Portlaoise, Laois","Euro","655.69"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Leitrim","Euro","496.02"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Carrick-On-Shannon, Leitrim","Euro","508.83"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Manorhamilton, Leitrim","Euro","455.1"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Limerick","Euro","738.92"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Limerick City","Euro","763.9"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Abbeyfeale, Limerick","Euro","514.83"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Annacotty, Limerick","Euro","871.35"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castleconnell, Limerick","Euro","972.5"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castletroy, Limerick","Euro","1029.52"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Corbally, Limerick","Euro","734.62"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dock Road, Limerick","Euro","599.29"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dooradoyle, Limerick","Euro","773.45"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Glen, Limerick","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Kilmallock, Limerick","Euro","597.39"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Newcastle West, Limerick","Euro","556.63"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Old Cratloe Road, Limerick","Euro","643.81"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Raheen, Limerick","Euro","742.67"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Longford","Euro","525.42"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Longford Town","Euro","511.97"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballymahon, Longford","Euro","507.89"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Edgeworthstown, Longford","Euro","510.96"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Newtownforbes, Longford","Euro","476.23"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Louth","Euro","746.83"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ardee, Louth","Euro","732.32"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Drogheda, Louth","Euro","767.4"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dundalk, Louth","Euro","708.58"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Louth Town","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Mayo","Euro","625.46"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballina, Mayo","Euro","610.03"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballinrobe, Mayo","Euro","573.27"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballyhaunis, Mayo","Euro","558.94"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Belmullet, Mayo","Euro","740.1"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castlebar, Mayo","Euro","645.03"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Charlestown, Mayo","Euro","501.94"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Claremorris, Mayo","Euro","580.4"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Foxford, Mayo","Euro","595.68"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Swinford, Mayo","Euro","528.83"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Westport, Mayo","Euro","706.47"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Meath","Euro","816.03"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ashbourne, Meath","Euro","956.85"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Athboy, Meath","Euro","690.57"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Bettystown, Meath","Euro","836.78"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Clonee, Meath","Euro","1002.43"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Drogheda, Meath","Euro","880.13"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Duleek, Meath","Euro","797.46"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dunboyne, Meath","Euro","1030.28"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dunshaughlin, Meath","Euro","848.17"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Enfield, Meath","Euro","819.98"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Kells, Meath","Euro","662.85"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Laytown, Meath","Euro","817.51"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Navan, Meath","Euro","753.99"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ratoath, Meath","Euro","977.94"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Stamullen, Meath","Euro","903.03"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Trim, Meath","Euro","750.62"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Monaghan","Euro","570.05"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballybay, Monaghan","Euro","495.95"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Carrickmacross, Monaghan","Euro","593.68"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castleblayney, Monaghan","Euro","575.18"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Monaghan Town","Euro","516.57"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Offaly","Euro","631.22"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Banagher, Offaly","Euro","558.08"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Birr, Offaly","Euro","589.53"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Clara, Offaly","Euro","609.53"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Edenderry, Offaly","Euro","654.63"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Tullamore, Offaly","Euro","645.23"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Roscommon","Euro","562.14"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Roscommon Town","Euro","660.29"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Athlone, Roscommon","Euro","668.8"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballaghaderreen, Roscommon","Euro","516.91"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Boyle, Roscommon","Euro","497.29"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castlerea, Roscommon","Euro","515.89"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Strokestown, Roscommon","Euro","487.61"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Sligo","Euro","592.14"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Sligo Town","Euro","595.46"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballinode, Sligo","Euro","876.67"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballisodare, Sligo","Euro","587.58"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballymote, Sligo","Euro","461.52"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballytivnan, Sligo","Euro","630.76"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Collooney, Sligo","Euro","583.11"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Lough Gill, Sligo","Euro","308.33"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Strandhill, Sligo","Euro","724.03"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Tubbercurry, Sligo","Euro","462.5"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Tipperary","Euro","635.5"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Tipperary Town","Euro","558.35"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballina, Tipperary","Euro","737.8"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Cahir, Tipperary","Euro","625.68"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Carrick-On-Suir, Tipperary","Euro","637.19"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Cashel, Tipperary","Euro","620.42"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Clonmel, Tipperary","Euro","681.52"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Fethard, Tipperary","Euro","613.23"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Nenagh, Tipperary","Euro","635.61"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Roscrea, Tipperary","Euro","595.83"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Templemore, Tipperary","Euro","631.96"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Thurles, Tipperary","Euro","592.44"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Waterford","Euro","642.91"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Waterford City","Euro","649.03"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ballytruckle, Waterford","Euro","409.36"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Canada Street, Waterford","Euro","661.56"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castle Place, Waterford","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Cork Road, Waterford","Euro","583.58"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dungarvan, Waterford","Euro","651.15"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dunmore East, Waterford","Euro","718.9"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Dunmore Road, Waterford","Euro","789.45"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ferrybank, Waterford","Euro","720.29"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Inner Ring Road, Waterford","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Johns Hill, Waterford","Euro","641.82"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Lismore, Waterford","Euro","635.52"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Mary Street, Waterford","Euro","611.82"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Penrose Lane, Waterford","Euro","599.87"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Poleberry, Waterford","Euro","476.74"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Portlaw, Waterford","Euro","599.16"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Railway Square, Waterford","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Scotch Quay, Waterford","Euro","580.69"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Templars Hall, Waterford","Euro","723.16"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Tramore, Waterford","Euro","663.08"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Westmeath","Euro","626.34"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Athlone, Westmeath","Euro","661.75"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Castlepollard, Westmeath","Euro","519.8"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Kilbeggan, Westmeath","Euro","629.75"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Kinnegad, Westmeath","Euro","614.46"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Moate, Westmeath","Euro","615.81"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Mullingar, Westmeath","Euro","597.88"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Wexford","Euro","662.37"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Bunclody, Wexford","Euro","650.02"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Clonard, Wexford","Euro","711.8"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Enniscorthy, Wexford","Euro","630.63"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ferns, Wexford","Euro","640.15"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Ford, Wexford","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Gorey, Wexford","Euro","688.88"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Mulgannon, Wexford","Euro","721.7"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","New Ross, Wexford","Euro","625.28"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Rosslare, Wexford","Euro","687.44"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Wicklow","Euro","998.99"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Wicklow Town","Euro","917.28"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Arklow, Wicklow","Euro","773.85"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Baltinglass, Wicklow","Euro","748.24"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Blessington, Wicklow","Euro","955.59"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Bray, Wicklow","Euro","1084.69"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Delgany, Wicklow","Euro","1167.16"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Greystones, Wicklow","Euro","1184.76"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Kilcoole, Wicklow","Euro","1177.69"
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Newtownmountkennedy, Wicklow","Euro",""
"RTB Average Monthly Rent Report","2009","All bedrooms","All property types","Rathnew, Wicklow","Euro","908.89"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Carlow","Euro","645.64"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Carlow Town","Euro","698.53"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Graiguecullen, Carlow","Euro","590.05"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Tullow, Carlow","Euro","607.94"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cavan","Euro","480.53"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cavan Town","Euro","458.68"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Bailieborough, Cavan","Euro","463.97"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballyconnell, Cavan","Euro","414.48"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro","547.6"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Belturbet, Cavan","Euro","421.35"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cootehill, Cavan","Euro","461.12"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Kingscourt, Cavan","Euro","495.04"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Virginia, Cavan","Euro","546.34"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Clare","Euro","585.79"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ennis, Clare","Euro","581.04"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Killaloe, Clare","Euro","595.81"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Kilrush, Clare","Euro","526.5"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Shannon, Clare","Euro","596.73"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Sixmilebridge, Clare","Euro","603.65"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cork","Euro","761.71"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cork City","Euro","828.46"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballincollig, Cork","Euro","842.18"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballintemple, Cork","Euro","839.78"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballinure, Cork","Euro","880.71"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Bandon, Cork","Euro","698.1"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Bantry, Cork","Euro","601.74"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Bishopstown, Cork","Euro","962.11"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Blackpool, Cork","Euro","762.84"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Blackrock, Cork","Euro","862.51"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Blarney, Cork","Euro","767.07"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Carrigaline, Cork","Euro","801.98"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Carrigtwohill, Cork","Euro","752.07"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Castlemartyr, Cork","Euro","602.72"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Charleville, Cork","Euro","587.03"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Clonakilty, Cork","Euro","646.72"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cloyne, Cork","Euro","600.14"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cobh, Cork","Euro","690.11"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Crosshaven, Cork","Euro","782.56"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Douglas, Cork","Euro","871.92"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dunmanway, Cork","Euro","585.08"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Fermoy, Cork","Euro","610.25"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Frankfield, Cork","Euro","894.29"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Glanmire, Cork","Euro","774.63"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Kanturk, Cork","Euro","518.36"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Kinsale, Cork","Euro","852.54"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Macroom, Cork","Euro","603.1"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Mallow, Cork","Euro","616.79"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Midleton, Cork","Euro","699.41"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Millstreet, Cork","Euro","523.66"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Mitchelstown, Cork","Euro","582.97"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Montenotte, Cork","Euro","799.61"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Passage West, Cork","Euro","759.2"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Rathcormac, Cork","Euro","630.86"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Rochestown, Cork","Euro","874.82"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Skibbereen, Cork","Euro","522.38"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Tivoli, Cork","Euro","797.12"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Tower, Cork","Euro","826.11"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Whitegate, Cork","Euro","661.06"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Wilton, Cork","Euro","824.75"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Youghal, Cork","Euro","595.87"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Donegal","Euro","512.57"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Donegal Town","Euro","536.78"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballybofey, Donegal","Euro","534.22"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Buncrana, Donegal","Euro","503.66"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Bundoran, Donegal","Euro","503.5"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Carndonagh, Donegal","Euro","468.42"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Letterkenny, Donegal","Euro","522.5"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Lifford, Donegal","Euro","503.93"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Stranorlar, Donegal","Euro","528.3"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dublin","Euro","1042.39"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Balbriggan, Dublin","Euro","806.51"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Blackrock, Dublin","Euro","1271.66"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Booterstown, Dublin","Euro","1418.75"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dalkey, Dublin","Euro","1481.72"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Donabate, Dublin","Euro","859.29"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1106.64"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Glenageary, Dublin","Euro","1379.01"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Howth, Dublin","Euro","1213.82"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Killiney, Dublin","Euro","1404.48"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Kinsealy, Dublin","Euro","1009.07"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Lucan, Dublin","Euro","1004.9"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Lusk, Dublin","Euro","945.85"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Malahide, Dublin","Euro","1234.85"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Monkstown, Dublin","Euro","1060.78"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Mount Merrion, Dublin","Euro","1612.44"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Portmarnock, Dublin","Euro","1113.54"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Rathcoole, Dublin","Euro","880.39"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Rush, Dublin","Euro","921.38"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Saggart, Dublin","Euro","999.72"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Sandycove, Dublin","Euro","1305.79"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Shankill, Dublin","Euro","1127.69"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Skerries, Dublin","Euro","929.14"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Stillorgan, Dublin","Euro","1277.94"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Swords, Dublin","Euro","966.86"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dublin 1","Euro","976.84"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1136.43"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1073.66"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","1288.72"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Summerhill, Dublin 1","Euro","1013.79"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dublin 2","Euro","1171.63"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Aungier Street, Dublin 2","Euro","930.18"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro","1237.5"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro","1435.05"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro","1511.7"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro","1628.45"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro","1047.7"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Pearse Street, Dublin 2","Euro","1061.06"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Tara Street, Dublin 2","Euro","1021.1"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Temple Bar, Dublin 2","Euro","1134.14"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1094.57"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dublin 3","Euro","972.47"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Clonliffe, Dublin 3","Euro","890.32"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1022.58"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","980.1"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","East Wall, Dublin 3","Euro","943.73"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Fairview, Dublin 3","Euro","873.26"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Marino, Dublin 3","Euro","1117.26"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","North Strand, Dublin 3","Euro","914.06"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dublin 4","Euro","1284.2"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","1362.4"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","1306.79"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Irishtown, Dublin 4","Euro","1132.22"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Merrion, Dublin 4","Euro","1217.82"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Pembroke, Dublin 4","Euro","1251.27"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Ringsend, Dublin 4","Euro","1168.8"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Sandymount, Dublin 4","Euro","1429.71"
"RTB Average Monthly Rent Report","2010","All bedrooms","All property types","Dublin 5","Euro","1053.89"
